Data,Salário mínimo real - R$ (do último mês) - Instituto de Pesquisa Econômica Aplicada - GAC12_SALMINRE12,
1965.08,1184.3223049284,
1965.09,1144.86632367451,
1965.10,1109.37505363851,
1965.11,1076.00094879649,
1965.12,1045.46616963706,
1966.01,997.578330277577,
1966.02,953.898853962458,
1966.03,1163.56621299015,
1966.04,1119.89246975718,
1966.05,1079.37865481874,
1966.06,1040.50768709085,
1966.07,1008.24104261635,
1966.08,977.915414653913,
1966.09,950.390140931205,
1966.10,927.205640013655,
1966.11,905.134898187446,
1966.12,883.726629435757,
1967.01,858.99112107785,
1967.02,842.974603609274,
1967.03,1024.56002036958,
1967.04,1000.68863126497,
1967.05,976.126273952105,
1967.06,956.134373417022,
1967.07,943.531547756868,
1967.08,931.256636034098,
1967.09,920.084748369593,
1967.10,908.408545979116,
1967.11,897.775001126518,
1967.12,888.121506490748,
1968.01,863.828561019562,
1968.02,848.134993165336,
1968.03,1024.18901607869,
1968.04,1000.9823163186,
1968.05,984.62153551696,
1968.06,966.66709467967,
1968.07,945.967585157621,
1968.08,931.997599722804,
1968.09,918.434225090664,
1968.10,904.642038775309,
1968.11,891.257960192218,
1968.12,878.264139699024,
1969.01,856.690747773644,
1969.02,846.837435658676,
1969.03,836.151789782856,
1969.04,825.732452838522,
1969.05,975.699831717961,
1969.06,948.435924410741,
1969.07,933.998375210109,
1969.08,922.654265389743,
1969.09,906.918263137502,
1969.10,893.207852664539,
1969.11,878.936212043452,
1969.12,866.994143945036,
1970.01,847.195552235192,
1970.02,836.972311048723,
1970.03,818.926706806399,
1970.04,810.60428092422,
1970.05,958.11965456989,
1970.06,942.551979237145,
1970.07,924.793753541372,
1970.08,902.131512644034,
1970.09,885.850564475077,
1970.10,874.919136120037,
1970.11,864.254207598483,
1970.12,856.520389185969,
1971.01,839.98379545004,
1971.02,829.429406339099,
1971.03,816.690729449932,
1971.04,806.370290577355,
1971.05,956.866331472631,
1971.06,935.145814827934,
1971.07,918.393600788421,
1971.08,907.198083043851,
1971.09,895.924165118646,
1971.10,883.909856391002,
1971.11,870.896460996797,
1971.12,861.143981030427,
1972.01,841.05166794769,
1972.02,825.40419505564,
1972.03,811.183096055033,
1972.04,803.274625759232,
1972.05,949.817411005226,
1972.06,940.715806792992,
1972.07,929.266932876648,
1972.08,919.629169437646,
1972.09,900.056184495457,
1972.10,888.994691930506,
1972.11,880.17021692255,
1972.12,873.457765315896,
1973.01,861.683883212892,
1973.02,857.116179435336,
1973.03,850.223194385748,
1973.04,840.860075695664,
1973.05,965.659337081635,
1973.06,950.98016385029,
1973.07,935.916236350168,
1973.08,919.993785962434,
1973.09,905.631123961885,
1973.10,901.79153468562,
1973.11,896.974543074985,
1973.12,890.714251735824,
1974.01,879.178409952527,
1974.02,878.21041830931,
1974.03,848.321842520001,
1974.04,799.433337438668,
1974.05,938.200327032056,
1974.06,924.469468119159,
1974.07,905.567272178767,
1974.08,887.422557144324,
1974.09,873.738944018289,
1974.10,855.503717389133,
1974.11,836.740226519143,
1974.12,901.841630941062,
1975.01,874.896022763346,
1975.02,855.677226616388,
1975.03,842.434602871135,
1975.04,824.280799547761,
1975.05,1044.96700574981,
1975.06,1019.73759460594,
1975.07,996.790700325563,
1975.08,959.235557742875,
1975.09,940.686803863869,
1975.10,920.347629726272,
1975.11,900.869373012488,
1975.12,885.640111830222,
